Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
Mahanagar,1963-09-27,Drama,2h 2m,"Life at home changes when a house-wife from a middle-class, conservative family in Calcutta gets a job as a saleswoman.",8.3,5693,Satyajit Ray,"Anil Chatterjee, Madhavi Mukherjee, Jaya Bachchan",https://www.imdb.com/title/tt0057277/
Bhaag Milkha Bhaag,2013-07-12,"Biography, Drama, Sport",3h 6m,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",8.2,79603,Rakeysh Omprakash Mehra,"Farhan Akhtar, Kousi Orfahli, Deepak Singh Rawat",https://www.imdb.com/title/tt2356180/
Kilukkam,1991-08-15,"Comedy, Drama",2h 35m,"A tourist guide in Ooty shelters a mentally unstable woman in return for the reward offered by her relatives. Later, he comes to know that she is in danger from her relatives.",8.6,5474,Priyadarshan,"Mohanlal, Jagathy Sreekumar, Revathi",https://www.imdb.com/title/tt0255306/
Mudhalvan,1999-11-07,"Action, Drama, Thriller",2h 49m,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",8.4,9446,"R. Madhesh, Shankar Shanmugham","Arjun Sarja, Manisha Koirala, Raghuvaran",https://www.imdb.com/title/tt0220656/
Guide,1965-02-06,"Drama, Romance",3h 3m,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",8.4,12913,Vijay Anand,"Dev Anand, Waheeda Rehman, Leela Chitnis",https://www.imdb.com/title/tt0059246/
Chhichhore,2019-09-06,"Comedy, Drama, Romance",2h 23m,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",8.3,73813,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma",https://www.imdb.com/title/tt9052870/
Zindagi Na Milegi Dobara,2011-07-15,"Adventure, Comedy, Drama",2h 35m,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,8.2,96875,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",https://www.imdb.com/title/tt1562872/
Peranbu,2019-01-31,"Drama, Family",2h 27m,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",8.6,18871,Ram,"Mammootty, Sadhana, Anjali",https://www.imdb.com/title/tt7738784/
Sardar Udham,2021-10-16,"Crime, Drama, History",2h 44m,Punjabi Sikh revolutionary Udham Singh spends two decades planning the assassination of the man responsible for the Jallianwala Bagh massacre.,8.3,51103,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan",https://www.imdb.com/title/tt10280296/
Gangs of Wasseypur,2012-06-22,"Action, Comedy, Crime",5h 21m,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,115177,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia",https://www.imdb.com/title/tt1954470/
Munna Bhai M.B.B.S.,2003-12-19,"Comedy, Drama",2h 36m,A gangster sets out to fulfill his father's dream of becoming a doctor.,8.2,99152,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh",https://www.imdb.com/title/tt0374887/
Drishyam,2015-07-31,"Crime, Drama, Mystery",2h 43m,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,110279,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu",https://www.imdb.com/title/tt4430212/
Goopy Gyne Bagha Byne,1969-05-08,"Adventure, Comedy, Family",2h 12m,"Goopy wants to sing, and Bagha wants to play the dhol. They meet accidentally and are helped by King of Ghosts. With newly endowed abilities, they land in kingdom of Shundi, where their adventure begins.",8.7,5935,Satyajit Ray,"Tapan Chatterjee, Rabi Ghosh, Ajoy Banerjee",https://www.imdb.com/title/tt0063023/
Spadikam,1995-03-30,"Action, Drama",2h 30m,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,8.6,7773,Bhadran,"Mohanlal, Thilakan, Urvashi",https://www.imdb.com/title/tt0292246/
Mahanati,2018-05-08,"Biography, Drama",2h 57m,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",8.4,16704,Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu",https://www.imdb.com/title/tt7465992/
"Swades: We, the People",2004-12-17,"Drama, Musical",3h 9m,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,106853,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",https://www.imdb.com/title/tt0367110/
